Word,Adjective
shunt,send from one track to another lay aside evade discussion
inured,accustomed to adapted
denouement,an outcome or solution; the unraveling of a plot
plethora,glut
forge,workshop for the shaping of metal to shape metal lead
sordid,wretched; comfortless; contemptible
cursory,quick; hurried
argot,jargon; slang
gregarious,living in societies liking the company
sinuous,winding; undulating serpentine
hone,stone used for sharpening tools
impecunious,having little or no money
desultory,aimless;haphazard; digressing at random
augury,omenl sign
odium,intense hatred or dislike
vigilant,member of a vigilance committee
propinquity,nearness in time or place affinity of nature
salacious,obscene
homiletics,act of preaching
recalcitrant,disobedient
harangue,a long passionate speech
libertine,immoral person
turgid,excessively ornate swollen or bloated
epistle,letter
foible,defect of character (a person is wrongly proud)
harrow,to distress; create stress or torment
inculcate,fix firmly by repetition
eclat,"Great brilliance, as of performance or achievement"
deposition,dethronement; depositing
tangential,suddenly changeable
countervail,counterbalance
gainsay,to deny; to oppose
middling,fairly good but not very good
gossamer,soft light; delicate material
stentorian,extremely loud and powerful
resort,to frequently visit
divestiture,taking off getting rid of giving up
churl,bad-tempered person
repertoire,"A stock of plays, dances, or pieces that a company or a performer knows or is prepared to perform"
nary,not any; no;
pinchbeck,An alloy of zinc and copper used as imitation gold; A cheap imitation
finicky,finical
temperance,abstinence from alcohol self-control moderation
profane,worldly having contempt for God
truculence,aggressiveness ferocity
glean,gather facts in small quantities
inveigh,to attack verbally; denounce;  deprecate
levee,formal reception/embankment
diaphanous,transparent; gauzy
diffidence,shyness
trepidation,alarm excited state of mind
tenuous,insubstantial flimsy weak
rebuff,snub
nugatory,trifling/worthless
opprobrious,showing scorn or reproach
pucker,wrinkle
vitiate,lower the quality weaken the strength
disinter,dig up from the earth
foppish,like a man who pays too much attention to his clothes
astringent,substance that shrinks
detumescence,diminishing or lessening of swelling
panegyric,formal praise eulogy
flak,criticism; anti-aircraft guns
distrait,distracted
plod,continue doing something without resting
refractory,stubborn; unmanageable; intractable
ramify,to be divided or subdivided to branch out
expedient,likely to be useful for a purpose
fecund,fertile
encomium,warm or glowing praise eulogy panegyric
obloquy,abusively; detractive language; sharp criticism; vituperation
trenchant,forceful effective vigorous extremely perceptive incisive
disconcert,upset the self-possession of
pugnacious,fond of in the habit of fighting
quaff,drink deeply
vituperate,curse abuse in words
discomfit,confuse embarrass
quail,lose courage turn frightened
impudent,rash; indiscreet
calumny,slander; aspersion
nemesis,deserved and unavoidable punishment for wrong doing
sublime,extreme; astounding
peremptory,urgent; imperative; unchallenged; ending debate
blandishment,flattery; coaxing
rabble,mob crowd the lower classes of populace
untoward,unfortunate inconvenient
strut,a supporting bar
voluble,fluent
sermon,reproving a person for his faults
prosaic,straightforward.; lacking in imagination and spirit
bereft,rob or dispossess of something (material)
fetter,to shackle put in chains
cant,insincere talk/jargon
glib,ready and smooth but not sincere
turpitude,wickedness shamefulness
raffish,showing vulgar in nature or appearance; tawdry
implicate,to be involved
asperity,roughness; harshness; ill temper; irritability
ensign,flag/badge
contumacious,insubordinate rebellious
idyll,a carefree episode or experience
quotidian,banal; everyday
teetotal,oppose to alcohol
veritable,real rightly named
simper,(give a) silly/self-conscious smile
mien,demeanor
invective,abusive language; curses
hirsute,hairy; shaggy
impugned,challenged to be doubted
umbrage,offense resentment
meretricious,attractive on the surface but of little value
incense,make angry
surfeit,satiate feed to fulness or to excess
endemic,epidemic
sophistry,fallacious; reasoning faulty logic
unencumbered,easy-going trifle
felicitous,suitably expressed; well chosen;  apropos
hack,cut roughly; hired horse
atavistic,something reverting to an earlier type
mettle,quality of endurance or courage
miseenscene,the stage setting or scenery of a play
toady,obsequious flatterer
peregrination,traveling about wandering
forbear,refrain from; be patient; ancestor
ecumenical,representing the whole Christian world
incipient,beginning
ineffable,to great to be described in words
